Run 1:Time(s),Run 1:Gate State,Run 1:Distance(m),Run 1:Velocity(m/s),Run 1:Acceleration(m/s^2),Run 2:Time(s),Run 2:Gate State,Run 2:Distance(m),Run 2:Velocity(m/s),Run 2:Acceleration(m/s^2),Run 3:Time(s),Run 3:Gate State,Run 3:Distance(m),Run 3:Velocity(m/s),Run 3:Acceleration(m/s^2),Run 4:Time(s),Run 4:Gate State,Run 4:Distance(m),Run 4:Velocity(m/s),Run 4:Acceleration(m/s^2),Run 5:Time(s),Run 5:Gate State,Run 5:Distance(m),Run 5:Velocity(m/s),Run 5:Acceleration(m/s^2)
0.073185000000000056,1,0.040000000000000001,1.8245605902470381,10.49495648180217,0,1,0,,,0,1,0,,,0,1,0,,,,,,,
0.076738000000000195,0,,,,0.0076130000000000919,0,,,,0.0091310000000000002,0,,,,0.011349000000000053,0,,,,,,,,
0.07858199999999993,1,0.050000000000000003,1.8789933901235201,9.6765461591030508,0.012401999999999802,1,0.01,0.87039863481128887,10.33334523024271,0.014716000000000395,1,0.01,0.74275780229732014,8.5927318081970281,0.018985000000000252,1,0.01,0.5624637431401226,3.7642468165113065,,,,,
0.082034999999999858,0,,,,0.018981000000000137,0,,,,0.022534000000000276,0,,,,0.029201000000000032,0,,,,,,,,
0.083833000000000268,1,0.059999999999999998,1.9211476070456781,6.3791449177034192,0.02319899999999997,1,0.02,0.97455322549007251,8.9599011676051941,0.027268000000000292,1,0.02,0.85335979387918892,9.0302751360141862,0.03581600000000007,1,0.02,0.68284081713604139,10.539962558560875,,,,,
0.088388000000000133,0,,,,0.029053999999999913,0,,,,0.034043000000000045,0,,,,0.043925000000000214,0,,,,,,,,
0.088994000000000018,1,0.070000000000000007,1.9643827836134939,10.375428447078111,0.033017000000000074,1,0.029999999999999999,1.0698721390721437,10.457274139396269,0.038337999999999983,1,0.029999999999999999,0.95964339290316591,10.171820441940643,0.049099000000000004,1,0.029999999999999999,0.82843530557506384,11.381965987554205,,,,,
0.092152000000000012,0,,,,0.038342999999999794,0,,,,0.044286000000000048,0,,,,0.05584699999999998,0,,,,,,,,
0.094018000000000157,1,0.080000000000000002,2.027660981254483,14.814936855862451,0.041971999999999898,1,0.040000000000000001,1.1581811729728286,9.2655698361897851,0.048239000000000143,1,0.040000000000000001,1.0575695438328143,9.6092422647852995,0.060306999999999888,1,0.040000000000000001,0.94912395500044755,10.154195580144743,,,,,
0.096983999999999959,0,,,,0.046926000000000023,0,,,,0.053584999999999994,0,,,,0.066304000000000141,0,,,,,,,,
0.098864000000000285,1,0.089999999999999997,2.0825905264081932,7.8551189236293597,0.050326999999999789,1,0.050000000000000003,1.2409325639773323,10.543261044601303,0.05732000000000026,1,0.050000000000000003,1.1493384870086816,10.60195543940284,0.070308000000000259,1,0.050000000000000003,1.0460123558269228,9.2215470108904469,,,,,
0.1017939999999999,0,,,,0.054983000000000004,0,,,,0.062170000000000059,0,,,,0.075863000000000014,0,,,,,,,,
0.1036230000000002,1,0.099999999999999992,2.1161606422637318,6.2529356489865151,0.058126999999999818,1,0.060000000000000005,1.3097701126219623,7.1073924540217313,0.065697000000000116,1,0.060000000000000005,1.2335677536748149,9.5076939974205317,0.079496000000000233,1,0.060000000000000005,1.1340621747242841,9.9447174421704094,,,,,
0.1066419999999999,0,,,,0.062570000000000014,0,,,,0.070196000000000147,0,,,,0.084531000000000134,0,,,,,,,,
0.1083159999999999,1,0.11,2.166832361397343,15.341660188906131,0.065609999999999946,1,0.070000000000000007,1.383895773827454,12.70435716658235,0.073565000000000325,1,0.070000000000000007,1.3118128789721044,10.381763373521924,0.087997000000000103,1,0.070000000000000007,1.2148647602717411,9.0654191411629057,,,,,
0.1113270000000002,0,,,,0.069779000000000035,0,,,,0.077781000000000322,0,,,,0.092709000000000152,0,,,,,,,,
0.1128580000000001,1,0.12,2.2090169166722751,3.2336613764526141,0.072611000000000203,1,0.080000000000000002,1.4563204433425267,7.9854498652902377,0.080971000000000348,1,0.080000000000000002,1.3834006345620116,8.9506037855131471,0.09599000000000002,1,0.080000000000000002,1.2897733762507744,9.6781354638750088,,,,,
0.1156160000000002,0,,,,0.076541000000000192,0,,,,0.084969000000000072,0,,,,0.10034600000000005,0,,,,,,,,
0.1173700000000002,1,0.13,2.2477968415617871,13.956021641947739,0.079352999999999785,1,0.089999999999999997,1.5186879831207001,10.515748526337639,0.088038000000000061,1,0.089999999999999997,1.4514369481138001,10.304048415361708,0.10353000000000012,1,0.089999999999999997,1.3703826873764873,11.703644675571155,,,,,
0.1202200000000002,0,,,,0.083083999999999936,0,,,,0.091860000000000053,0,,,,0.10769000000000029,0,,,,,,,,
0.12175900000000001,1,0.14000000000000001,,,0.085793999999999926,1,0.099999999999999992,1.5882051624514173,11.070085763591136,0.094767000000000046,1,0.099999999999999992,1.5186763658280851,9.6809174679151777,0.11061300000000029,1,0.099999999999999992,1.4377900796000254,7.3299264732461387,,,,,
0.124431,0,,,,0.089328000000000074,0,,,,0.098401000000000405,0,,,,0.11476400000000009,0,,,,,,,,
,,,,,0.091957999999999984,1,0.10999999999999999,1.6465102286317017,7.8478461573316123,0.10121900000000039,1,0.10999999999999999,1.5859804980931251,11.182111752492949,0.11744900000000014,1,0.10999999999999999,1.5046029857512155,12.217442207617484,,,,,
,,,,,0.095397000000000176,0,,,,0.10468400000000022,0,,,,0.12133200000000022,0,,,,,,,,
,,,,,0.097945999999999867,1,0.11999999999999998,1.7024509384311799,10.836425652781676,0.1073900000000001,1,0.11999999999999998,1.6419074038991968,6.9436071929208456,0.12392500000000028,1,0.11999999999999998,1.5700709650351019,8.0012048843790442,,,,,
,,,,,0.10131099999999993,0,,,,0.11075000000000035,0,,,,0.12763500000000016,0,,,,,,,,
,,,,,0.10371400000000008,1,0.12999999999999998,1.7657234577654222,11.102728069215468,0.11340400000000006,1,0.12999999999999998,1.6988288959079856,11.986054266603306,0.13019399999999992,1,0.12999999999999998,1.6263791535911325,9.9628048639169222,,,,,
,,,,,0.10691899999999999,0,,,,0.11660000000000004,0,,,,0.13378500000000004,0,,,,,,,,
,,,,,0.10928000000000004,1,0.13999999999999999,,,0.11917300000000042,1,0.13999999999999999,,,0.13623099999999999,1,0.13999999999999999,,,,,,,
,,,,,0.11236500000000005,0,,,,0.12226200000000009,0,,,,0.13971400000000012,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
